backbone,backbone_size,dataset,image_size,task,patch_size,backbone_modalities,backbone_bands,decoder,token_count,gmacs_encoder,gmacs_decoder,gmacs_total,params_M
thor,tiny,snow,144,segmentation,4,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",,1296.0,6.903545856,,6.903545856,7.608896
thor,tiny,snow,144,segmentation,4,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",linear,,6.903545856,0.0570654719999996,6.960611328,7.614786
thor,tiny,snow,144,segmentation,4,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",upernet,,6.903545856,78.853668864,85.75721472,15.584753
thor,tiny,snow,144,segmentation,8,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",,324.0,1.755561984,,1.755561984,7.608896
thor,tiny,snow,144,segmentation,8,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",linear,,1.755561984,0.0570654719999998,1.812627456,7.624002
thor,tiny,snow,144,segmentation,8,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",upernet,,1.755561984,19.715260416,21.4708224,15.584753
thor,tiny,snow,144,segmentation,16,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",,81.0,0.449888256,,0.449888256,7.608896
thor,tiny,snow,144,segmentation,16,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",linear,,0.449888256,0.057065472,0.506953728,7.660866
thor,tiny,snow,144,segmentation,16,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",upernet,,0.449888256,4.918751232,5.368639488,15.584753
thor,tiny,snow,144,segmentation,32,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",,16.0,0.352321536,,0.352321536,7.608896
thor,tiny,snow,144,segmentation,32,,"['S1_REFLECTANCE_AN', 'S2_REFLECTANCE_AN', 'S3_REFLECTANCE_AN', 'S5_REFLECTANCE_AN', 'S6_REFLECTANCE_AN']",linear,,0.352321536,0.045088768,0.397410304,7.808322
