Accuracy,Batch-size,CONSORTIUM,Decoder,F1,Freeze backbone?,Input Modalities,Instance-wise_F1 Score,Instance-wise_False Negatives,Instance-wise_False Positives,Instance-wise_Precision,Instance-wise_Recall,Instance-wise_True Positives,IoU_target_class,Loss,Model,Patch_size,Precision_pixel,RMSE,Recall,Run id,Subset,Subset seed,Sweep id,Task,TiM modalities (Terramind),USE CASE,Unnamed: 28,Version,mIoU (default macro),mIoU micro
,,FAST-EO,linear,,False,s2,,,,,,,0.754523575,,Terramind,16 (Terramind),,,,eiyv5zxn,,,ulr1r2ax,Segmentation,,UC1: HLS Burnscars-Weather & Climate Disaster Analysis,ID added afterwards ,base,0.861260653,0.943377316
,,FAST-EO,linear,,True,s2,,,,,,,0.600431502,,Terramind,16 (Terramind),,,,2a3h1fb8,,,ulr1r2ax,Segmentation,,UC1: HLS Burnscars-Weather & Climate Disaster Analysis,ID added afterwards ,base,0.771192789,0.898633718
,,FAST-EO,upernet,,False,s2,,,,,,,0.806519032,,Terramind,16 (Terramind),,,,wmg5unyd,,,ulr1r2ax,Segmentation,,UC1: HLS Burnscars-Weather & Climate Disaster Analysis,ID added afterwards ,base,0.890989423,0.956444204
,,FAST-EO,upernet,,True,s2,,,,,,,0.695975602,,Terramind,16 (Terramind),,,,dqcoapku,,,ulr1r2ax,Segmentation,,UC1: HLS Burnscars-Weather & Climate Disaster Analysis,ID added afterwards ,base,0.828178644,0.92989856
,,FAST-EO,upernet,,False,s2,,,,,,,0.767735302,,Terramind,16 (Terramind),,,,tx3d2usj,,,5dv1gjc7,Segmentation,,UC6: Monitoring Expansion of Mining Fields into Farmlands,ID added afterwards ,base,0.817275107,0.83626157
,,FAST-EO,upernet,,False,s1+s2+dem,,,,,,,0.765826583,,Terramind,16 (Terramind),,,,my0mggmw,,,5dv1gjc7,Segmentation,,UC6: Monitoring Expansion of Mining Fields into Farmlands,ID added afterwards ,base,0.816586852,0.836108744
,,FAST-EO,upernet,,True,s1+s2,,,,,,,0.768294513,,Terramind,16 (Terramind),,,,dg4lxdse,,,5dv1gjc7,Segmentation,,UC6: Monitoring Expansion of Mining Fields into Farmlands,ID added afterwards ,base,0.812916636,0.829960644
,,FAST-EO,upernet,,True,s2,,,,,,,0.769804001,,Terramind,16 (Terramind),,,,ak59ktlz,,,5dv1gjc7,Segmentation,,UC6: Monitoring Expansion of Mining Fields into Farmlands,ID added afterwards ,base,0.812774301,0.829250515
,,FAST-EO,linear,,False,s2,,,,,,,0.757832468,,Terramind,16 (Terramind),,,,qiazjgme,,,5dv1gjc7,Segmentation,,UC6: Monitoring Expansion of Mining Fields into Farmlands,ID added afterwards ,base,0.811491847,0.831780016
,,FAST-EO,upernet,,True,s1+s2+dem,,,,,,,0.769578457,,Terramind,16 (Terramind),,,,88hvl2su,,,5dv1gjc7,Segmentation,,UC6: Monitoring Expansion of Mining Fields into Farmlands,ID added afterwards ,base,0.810411215,0.826324224
,,FAST-EO,upernet,,False,s1+s2,,,,,,,0.746708632,,Terramind,16 (Terramind),,,,thc400un,,,5dv1gjc7,Segmentation,,UC6: Monitoring Expansion of Mining Fields into Farmlands,ID added afterwards ,base,0.8097471,0.834136903
,,FAST-EO,linear,,False,s1+s2+dem,,,,,,,0.749961674,,Terramind,16 (Terramind),,,,bom8spdh,,,5dv1gjc7,Segmentation,,UC6: Monitoring Expansion of Mining Fields into Farmlands,ID added afterwards ,base,0.809579253,0.832065463
,,FAST-EO,linear,,False,s1+s2,,,,,,,0.724741757,,Terramind,16 (Terramind),,,,42wc1hde,,,5dv1gjc7,Segmentation,,UC6: Monitoring Expansion of Mining Fields into Farmlands,ID added afterwards ,base,0.799809098,0.828022957
,,FAST-EO,linear,,True,s1+s2,,,,,,,0.70400244,,Terramind,16 (Terramind),,,,40hx0iz6,,,5dv1gjc7,Segmentation,,UC6: Monitoring Expansion of Mining Fields into Farmlands,ID added afterwards ,base,0.741534531,0.756064177
,,FAST-EO,linear,,True,s2,,,,,,,0.699596167,,Terramind,16 (Terramind),,,,xnup9x1s,,,5dv1gjc7,Segmentation,,UC6: Monitoring Expansion of Mining Fields into Farmlands,ID added afterwards ,base,0.740303934,0.755782068
,,FAST-EO,linear,,True,s1+s2+dem,,,,,,,0.690184295,,Terramind,16 (Terramind),,,,xm0pfqdy,,,5dv1gjc7,Segmentation,,UC6: Monitoring Expansion of Mining Fields into Farmlands,ID added afterwards ,base,0.731014371,0.746617973
,,FAST-EO,upernet,,False,s2,,,,,,,0.843690038,,Terramind,16 (Terramind),,,,gl1grbbo,,,mihm8i51,Segmentation,,UC1: Sen1Floods11- Weather & Climate Disaster Analysis,ID added afterwards ,base,0.910005927,0.95887363
,,FAST-EO,upernet,,True,s2,,,,,,,0.829421163,,Terramind,16 (Terramind),,,,ct9lpiwj,,,mihm8i51,Segmentation,,UC1: Sen1Floods11- Weather & Climate Disaster Analysis,ID added afterwards ,base,0.901875973,0.955376506
,,FAST-EO,upernet,,True,s1+s2,,,,,,,0.825224876,,Terramind,16 (Terramind),,,,qyn9pgb4,,,mihm8i51,Segmentation,,UC1: Sen1Floods11- Weather & Climate Disaster Analysis,ID added afterwards ,base,0.899446607,0.954231977
,,FAST-EO,upernet,,False,s1+s2,,,,,,,0.819001794,,Terramind,16 (Terramind),,,,1rf7oxdv,,,mihm8i51,Segmentation,,UC1: Sen1Floods11- Weather & Climate Disaster Analysis,ID added afterwards ,base,0.895927608,0.952787876
,,FAST-EO,linear,,False,s1+s2,,,,,,,0.774291635,,Terramind,16 (Terramind),,,,4f7tf5oj,,,mihm8i51,Segmentation,,UC1: Sen1Floods11- Weather & Climate Disaster Analysis,ID added afterwards ,base,0.869347155,0.93850404
,,FAST-EO,linear,,True,s2,,,,,,,0.766462982,,Terramind,16 (Terramind),,,,2reu82bh,,,mihm8i51,Segmentation,,UC1: Sen1Floods11- Weather & Climate Disaster Analysis,ID added afterwards ,base,0.865331888,0.937918127
,,FAST-EO,linear,,True,s1+s2,,,,,,,0.753472865,,Terramind,16 (Terramind),,,,3kxqjfyy,,,mihm8i51,Segmentation,,UC1: Sen1Floods11- Weather & Climate Disaster Analysis,ID added afterwards ,base,0.857668281,0.933945596
,,FAST-EO,linear,,False,s2,,,,,,,0.707613409,,Terramind,16 (Terramind),,,,1gcbu0w1,,,mihm8i51,Segmentation,,UC1: Sen1Floods11- Weather & Climate Disaster Analysis,ID added afterwards ,base,0.830273688,0.918919563
,,FAST-EO,upernet,,True,s1,,,,,,,0.698191464,,Terramind,16 (Terramind),,,,fb1i2ao6,,,mihm8i51,Segmentation,,UC1: Sen1Floods11- Weather & Climate Disaster Analysis,ID added afterwards ,base,0.82511735,0.917237401
,,FAST-EO,upernet,,False,s1,,,,,,,0.661833644,,Terramind,16 (Terramind),,,,6wf9x7kz,,,mihm8i51,Segmentation,,UC1: Sen1Floods11- Weather & Climate Disaster Analysis,ID added afterwards ,base,0.804536045,0.908718765
,,FAST-EO,linear,,True,s1,,,,,,,0.65405798,,Terramind,16 (Terramind),,,,b495hywe,,,mihm8i51,Segmentation,,UC1: Sen1Floods11- Weather & Climate Disaster Analysis,ID added afterwards ,base,0.799426675,0.904785037
,,FAST-EO,linear,,False,s1,,,,,,,0.621372879,,Terramind,16 (Terramind),,,,u8m1uxfh,,,mihm8i51,Segmentation,,UC1: Sen1Floods11- Weather & Climate Disaster Analysis,ID added afterwards ,base,0.777979374,0.888444841
,,FAST-EO,upernet,,False,s1+s2,,,,,,,0.84241879,,Terramind,16 (Terramind),,,,iu1rvyyc,,,22aun7nr,Segmentation,"[""LULC""]",UC1: Sen1Floods11- Weather & Climate Disaster Analysis,ID added afterwards ,base_tim,0.909303308,0.958627582
,,FAST-EO,upernet,,False,s2,,,,,,,0.840119004,,Terramind,16 (Terramind),,,,pdutbre8,,,22aun7nr,Segmentation,"[""S1GRD""]",UC1: Sen1Floods11- Weather & Climate Disaster Analysis,ID added afterwards ,base_tim,0.908002496,0.95809257
,,FAST-EO,upernet,,True,s2,,,,,,,0.833766878,,Terramind,16 (Terramind),,,,ghpapzta,,,22aun7nr,Segmentation,"[""S1GRD""]",UC1: Sen1Floods11- Weather & Climate Disaster Analysis,ID added afterwards ,base_tim,0.904240966,0.956106544
,,FAST-EO,upernet,,True,s1+s2,,,,,,,0.831145823,,Terramind,16 (Terramind),,,,awqa5rvo,,,22aun7nr,Segmentation,"[""LULC""]",UC1: Sen1Floods11- Weather & Climate Disaster Analysis,ID added afterwards ,base_tim,0.902744889,0.955456078
,,FAST-EO,linear,,False,s1+s2,,,,,,,0.81800878,,Terramind,16 (Terramind),,,,igij709i,,,22aun7nr,Segmentation,"[""LULC""]",UC1: Sen1Floods11- Weather & Climate Disaster Analysis,ID added afterwards ,base_tim,0.895066738,0.951654375
,,FAST-EO,linear,,False,s2,,,,,,,0.798135817,,Terramind,16 (Terramind),,,,dzo9yqmy,,,22aun7nr,Segmentation,"[""S1GRD""]",UC1: Sen1Floods11- Weather & Climate Disaster Analysis,ID added afterwards ,base_tim,0.88353312,0.94614923
,,FAST-EO,linear,,True,s1+s2,,,,,,,0.782424986,,Terramind,16 (Terramind),,,,dld587nm,,,22aun7nr,Segmentation,"[""LULC""]",UC1: Sen1Floods11- Weather & Climate Disaster Analysis,ID added afterwards ,base_tim,0.874598324,0.942347825
,,FAST-EO,linear,,True,s2,,,,,,,0.771426499,,Terramind,16 (Terramind),,,,gvlrp679,,,22aun7nr,Segmentation,"[""S1GRD""]",UC1: Sen1Floods11- Weather & Climate Disaster Analysis,ID added afterwards ,base_tim,0.868205786,0.93927294
,,FAST-EO,upernet,,False,s1,,,,,,,0.698952973,,Terramind,16 (Terramind),,,,6ofbqx02,,,22aun7nr,Segmentation,"[""S2L1C""]",UC1: Sen1Floods11- Weather & Climate Disaster Analysis,ID added afterwards ,base_tim,0.825538516,0.917386293
